Exchange ,Scrip Code ,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Net Qty ,Buy Qty ,Buy Lot ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Avg. ,Net Lot ,Net Price ,Market Price ,MTM G/L  ,MTMV Pos ,Option Flag
Derv. Combined ,100067549 ,Options ,OPTIDX ,BANKNIFTY ,28APR2026 ,57000.00 ,PE ,-4710 , , , ,4710 ,157 ,913.30 ,-157 ,913.30 ,981.55 ,-321457.50 ,-4623100.50 ,NA
Derv. Combined ,100067533 ,Options ,OPTIDX ,BANKNIFTY ,28APR2026 ,56200.00 ,PE ,-4620 , , , ,4620 ,154 ,460.75 ,-154 ,460.75 ,473.00 ,-56595.00 ,-2185260.00 ,NA
Derv. Combined ,100067548 ,Options ,OPTIDX ,BANKNIFTY ,28APR2026 ,57000.00 ,CE ,1410 ,1410 ,47 ,239.05 , , , ,47 ,239.05 ,160.00 ,-111460.50 ,225600.00 ,NA
Derv. Combined ,100066691 ,Futures ,FUTIDX ,NIFTY ,28APR2026 , , ,65 ,65 ,1 ,24163.00 , , , ,1 ,24163.00 ,23907.50 ,-16607.50 ,1553987.50 ,NA
Derv. Combined ,100072259 ,Options ,OPTIDX ,NIFTY ,28APR2026 ,23900.00 ,CE , ,3055 ,47 ,179.36 ,3055 ,47 ,351.90 , , ,179.10 ,527120.75 ,0.00 ,NA
Derv. Combined ,100072253 ,Options ,OPTIDX ,NIFTY ,28APR2026 ,23750.00 ,CE ,-3055 , , , ,3055 ,47 ,267.35 ,-47 ,267.35 ,267.65 ,1212.25 ,-815532.25 ,NA
--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,---------------
(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,-10910 ,4530 ,95 , ,15440 ,405 , ,-310 , , ,22212.50 ,-5844305.25 ,(ALL)
